time,speaker,sentence
00:13:04,Mike,"They'll be joining a team of 8 developers. We've got 3 backend, 3 frontend, and 2 full-stack currently. They'll report to our Tech Lead but work quite autonomously. We're not into micromanagement.
"
00:13:22,Darryll,"Salary range?
"
00:13:25,Mike,"For the right person, we're flexible. Market rate for a senior developer with gambling experience. I'd say £80-100k depending on experience, plus equity. We can go higher for someone exceptional.
"
00:13:42,Darryll,"Remote or office-based?
"
00:13:46,Mike,"Flexible. We're remote-first but have an office in London. Ideally, they'd come in once or twice a week for collaboration sessions, but it's not mandatory. Fully remote is fine for the right candidate.
"
00:14:02,Darryll,"Any specific projects they'd be working on initially?
"
00:14:08,Mike,"Yeah, we're rebuilding our bet slip functionality - it needs to be faster, more intuitive. They'd also help implement new responsible gambling features the UKGC is requiring. And we're planning to add in-play betting for more sports, which is technically challenging with the real-time requirements.
"
00:14:32,Darryll,"Timeline for hiring?
"
00:14:35,Mike,"ASAP, really. But I'd rather wait for the right person than hire quickly and regret it. If we could have someone starting in 6-8 weeks, that would be ideal.
"
00:14:50,Darryll,"Interview process?
"
00:14:53,Mike,"Initial call with you, then a technical interview with me and the tech lead - probably some coding exercises, system design questions. Then a cultural fit interview with the wider team. Maybe a take-home test if we're unsure, but I prefer to avoid those if possible. 
"
00:15:15,Darryll,"Great. Any questions for me?
"
00:15:20,Mike,"What's the market like for developers with gambling experience? Are we being realistic?
"
00:15:28,Darryll,"It's definitely a smaller pool than general JavaScript developers, but they're out there. The salary range you mentioned should attract good candidates. The equity and remote flexibility will help too.
"
00:15:45,Mike,"Good to know. Oh, one more thing - they need to pass enhanced background checks. That's a regulatory requirement for anyone working on our gambling platform. Just make sure candidates know that upfront.
"
00:16:00,Darryll,"Will do. I'll get started on the job description and start reaching out to potential candidates. I'll focus on those with betting platform experience first.
"
00:16:12,Mike,"Perfect. Thanks Darryll. Let me know if you need anything else.
"
00:16:18,Darryll,"Will do. Thanks Mike, speak soon.
"
